code,day,id,avg_num_coders,num_codes,used_on_lines,percent
77,2012-05-18,324897,3.0000,2,2,33.33330000
77,2012-05-21,41849,3.0671,283,283,40.93065230
77,2012-05-22,42986,2.1588,170,170,47.85293882
77,2012-05-23,43266,2.1538,13,13,47.43589231
77,2012-05-29,43378,2.0533,75,75,49.22222133
77,2012-05-30,142133,2.0000,156,156,50.00000000
77,2012-09-27,206670,3.9348,52,46,36.74100652
77,2012-09-28,206670,6.4086,128,93,33.56237634
77,2012-10-01,206881,3.1884,69,69,34.49274493
77,2012-10-02,46865,5.7463,71,67,26.28247313
77,2012-10-04,78422,2.4464,56,56,44.34523750
77,2012-10-05,132506,2.3333,3,3,44.44443333
77,2012-10-06,132774,2.7000,10,10,39.99999000
77,2012-10-08,46865,2.6667,3,3,41.66666667
77,2012-10-09,46878,2.2034,59,59,48.06967797
77,2012-10-10,78422,2.8522,117,115,39.21738348
77,2012-10-13,133601,4.1818,11,11,34.17749091
77,2012-10-14,46884,3.8571,7,7,27.14284286
77,2012-10-15,47297,2.1489,94,94,47.96099043
77,2012-10-16,2517,3.0833,60,60,38.25594167
77,2012-10-17,207044,7.0000,2,2,15.55555000
77,2012-10-21,133828,2.5000,46,46,42.64491739
77,2012-10-22,46879,2.7333,15,15,39.99999333
77,2012-10-24,305173,2.0952,63,63,48.80952381
77,2012-10-26,161710,3.9565,46,46,33.57919565
77,2012-10-27,162163,6.6667,9,9,15.25574444
77,2012-10-29,162271,6.3000,20,20,15.98216500
77,2012-11-03,48974,3.0513,39,39,37.50304872
77,2012-11-04,385535,2.4737,19,19,42.54384737
77,2012-11-05,346620,3.0000,1,1,33.33330000
77,2012-11-06,66137,2.0000,2,2,50.00000000
77,2012-11-10,385765,2.5000,24,24,42.36110000
77,2012-11-11,66157,2.0000,10,10,50.00000000
77,2012-11-12,385895,5.0000,1,1,20.00000000
77,2012-11-13,66137,3.5200,28,25,34.66666000
77,2012-11-14,66265,2.8413,63,63,38.41268889
77,2012-11-15,243914,3.0000,1,1,33.33330000
77,2012-11-16,66201,2.1630,92,92,47.64492500
77,2012-11-17,386753,2.2683,41,41,45.73170000
77,2012-11-18,243958,2.6667,3,3,38.88886667
77,2012-11-20,236475,3.0313,64,64,33.77601406
77,2012-11-26,255419,2.7500,4,4,39.58332500
77,2012-11-27,6272,2.0000,2,2,50.00000000
77,2012-11-30,66288,4.0000,15,15,27.11111333
77,2012-12-02,67171,4.1667,6,6,24.16666667
77,2012-12-04,333054,3.2609,46,46,31.15939565
77,2012-12-10,307022,2.3500,20,20,44.58332500
77,2013-01-03,125724,2.7500,36,36,40.53570556
77,2013-01-05,125783,3.0000,1,1,33.33330000
77,2013-01-07,125764,2.0526,19,19,49.12280526
77,2013-01-10,126275,2.0000,6,6,50.00000000
77,2013-01-11,3553,2.1842,38,38,46.92981842
77,2013-01-14,3571,2.5500,40,40,41.24998500
77,2013-01-15,3838,2.1400,50,50,47.66666200
77,2013-01-17,57696,2.0667,15,15,48.88888667
77,2013-01-18,255365,4.0000,1,1,25.00000000
77,2013-01-19,57924,2.8947,19,19,37.01752632
77,2013-01-21,57991,2.0909,11,11,48.48484545
77,2013-01-22,58051,2.2376,101,101,46.28712277
77,2013-01-23,14002,2.2639,72,72,45.71758472
77,2013-01-24,125782,2.7000,30,30,38.88887000
77,2013-01-25,58969,2.4865,37,37,42.11710270
77,2013-01-26,59215,3.0000,2,2,33.33330000
77,2013-01-28,59241,2.4545,88,88,43.44696136
77,2013-02-04,123730,2.1395,43,43,47.67441395
77,2013-02-05,255492,3.6842,19,19,29.12279474
77,2013-02-10,255862,2.0000,13,13,50.00000000
77,2013-02-11,333621,3.3095,42,42,30.83330952
77,2013-02-12,124010,2.7297,37,37,40.63062432
81,2012-03-28,162028,2.0000,3,3,50.00000000
81,2012-03-29,162021,5.5510,172,49,68.99660000
81,2012-04-02,33740,3.4921,283,126,66.44179921
81,2012-04-03,34068,3.1796,310,167,59.84173952
81,2012-04-05,13914,3.0594,142,101,49.10890594
81,2012-04-09,18432,2.1905,163,105,72.69841333
81,2012-04-10,18394,2.4259,140,108,55.61728056
81,2012-04-11,2698,2.6429,14,14,39.28569286
81,2012-04-12,117990,4.0833,36,36,25.55554722
81,2012-04-16,118153,4.5538,65,65,25.64589538
81,2012-04-17,118449,5.0769,13,13,22.19779231
81,2012-04-19,85770,3.8000,54,50,32.49839800
81,2012-04-20,85857,3.0556,18,18,32.87033889
81,2012-04-21,86172,3.0667,15,15,32.77774667
81,2012-04-23,86587,3.6735,98,98,29.86636020
81,2012-04-24,87295,4.1852,81,81,27.80862963
81,2012-04-25,177514,3.0175,57,57,33.18710175
81,2012-04-26,119212,3.5568,88,88,30.61054659
81,2012-04-30,100430,3.2418,153,153,32.91780850
81,2012-05-01,70321,3.6000,45,45,30.28040444
81,2012-05-06,119707,5.7500,4,4,17.50002500
81,2012-05-07,41154,3.3527,207,207,32.95834444
81,2012-05-08,217422,2.3784,74,74,43.80629459
81,2012-05-09,41281,3.0000,2,2,33.33330000
81,2012-05-10,11,2.0820,61,61,48.63387705
81,2012-05-11,43,2.0000,6,6,50.00000000
81,2012-05-13,41371,3.4000,5,5,30.66664000
81,2012-05-14,105,2.9282,183,181,37.00340331
81,2012-05-15,41275,6.8140,111,86,19.99815116
81,2012-05-16,42249,3.4348,23,23,30.36230000
81,2012-05-17,41871,3.9807,218,207,28.90785121
81,2012-05-18,324861,3.0000,12,12,34.02775000
81,2012-05-21,41930,3.7708,192,192,30.17876927
81,2012-05-22,42967,3.1553,103,103,32.26534466
81,2012-05-23,43365,3.5000,2,2,29.16665000
81,2012-05-29,293085,3.0000,24,24,33.33330000
81,2012-05-30,141755,3.0125,80,80,33.22913375
81,2012-09-27,206700,3.5667,35,30,33.13128000
81,2012-09-28,206700,3.8028,72,71,30.76552535
81,2012-10-01,206934,3.7073,41,41,29.36990000
81,2012-10-02,46864,6.8333,66,54,20.97708704
81,2012-10-04,132441,3.0000,1,1,33.33330000
81,2012-10-05,132616,3.0000,1,1,33.33330000
81,2012-10-06,132753,2.4000,5,5,43.33332000
81,2012-10-08,46864,4.0000,4,4,27.08332500
81,2012-10-09,46923,3.0645,62,62,32.79566774
81,2012-10-10,78837,2.9630,27,27,37.71604074
81,2012-10-14,46914,5.8333,6,6,17.81746667
81,2012-10-15,47327,2.9464,56,56,35.17854464
81,2012-10-16,2550,3.7647,51,51,27.64705294
81,2012-10-21,133825,4.0800,25,25,24.73333200
81,2012-10-22,46970,5.1111,9,9,21.13756667
81,2012-10-24,305153,2.5273,55,55,41.51513636
81,2012-10-26,161774,6.8571,21,21,18.37507143
81,2012-10-27,162159,7.9333,15,15,12.67195333
81,2012-10-29,162284,8.4000,5,5,12.50000000
81,2012-10-30,46988,5.2500,24,24,19.85118750
81,2012-11-03,49024,4.6500,40,40,24.47221500
81,2012-11-04,385453,4.9500,20,20,20.84523500
81,2012-11-10,385893,4.0000,13,13,25.25640769
81,2012-11-11,66222,5.2500,4,4,27.08332500
81,2012-11-12,385454,5.5000,6,6,20.18518333
81,2012-11-13,243726,5.0909,25,22,22.77056818
81,2012-11-14,66395,3.9643,28,28,28.21428214
81,2012-11-16,66222,2.5455,77,77,41.27704026
81,2012-11-17,386809,4.0000,9,9,25.74073333
81,2012-11-18,3039,5.5263,19,19,19.05388947
81,2012-11-20,236552,3.6667,39,39,27.86323590
81,2012-11-26,333048,2.0000,1,1,50.00000000
81,2012-11-30,66259,5.4189,74,74,18.87388919
81,2012-12-02,67064,5.4583,24,24,18.51191667
81,2012-12-04,333048,3.8947,38,38,26.22806316
81,2012-12-10,307039,3.0000,4,4,33.33330000
81,2013-01-03,125742,2.7647,17,17,38.92155294
81,2013-01-07,126068,2.0000,6,6,50.00000000
81,2013-01-08,126270,2.0000,1,1,50.00000000
81,2013-01-10,126307,2.0000,3,3,50.00000000
81,2013-01-11,3554,2.1818,11,11,47.72727273
81,2013-01-14,3592,2.6667,9,9,39.81480000
81,2013-01-15,3867,2.1250,8,8,47.91666250
81,2013-01-17,57700,3.0000,1,1,33.33330000
81,2013-01-19,333506,3.6429,28,28,28.51188929
81,2013-01-21,57988,2.0000,1,1,50.00000000
81,2013-01-22,58142,2.3000,30,30,44.99999000
81,2013-01-23,13996,2.4286,7,7,42.85712857
81,2013-01-24,126120,3.0000,1,1,33.33330000
81,2013-01-25,59008,3.0909,11,11,34.84847273
81,2013-01-28,59234,2.8611,36,36,37.82406111
81,2013-02-04,123772,3.0333,30,30,33.33330333
81,2013-02-10,255945,3.0000,2,2,33.33330000
81,2013-02-11,333625,3.6383,48,47,28.72338936
81,2013-02-12,124011,3.0000,3,3,33.33330000
84,2012-03-29,162086,4.2759,96,29,78.42364828
84,2012-04-02,33770,3.3297,136,91,46.20877802
84,2012-04-03,34074,3.4118,64,51,38.88887255
84,2012-04-05,19305,2.7619,102,84,46.70633810
84,2012-04-09,19643,2.2281,66,57,54.06432281
84,2012-04-10,18397,2.2500,44,40,51.24999500
84,2012-04-11,123206,2.0000,2,2,50.00000000
84,2012-04-12,118024,3.4444,45,45,30.48146444
84,2012-04-16,118259,3.6212,66,66,29.35604242
84,2012-04-17,118459,5.1818,33,33,21.75083939
84,2012-04-19,85683,2.8281,67,64,42.44915000
84,2012-04-20,85869,2.0000,9,9,50.00000000
84,2012-04-21,86234,2.0000,6,6,50.00000000
84,2012-04-23,86799,2.7100,100,100,41.13332900
84,2012-04-24,87363,2.6522,46,46,41.81158696
84,2012-04-25,177431,2.0000,11,11,50.00000000
84,2012-04-26,119173,3.0541,37,37,38.35585135
84,2012-04-30,100377,2.7761,67,67,40.09949552
84,2012-05-01,70322,2.9459,37,37,40.29922432
84,2012-05-06,119669,4.2222,9,9,25.37036667
84,2012-05-07,41062,2.3659,82,82,45.17420976
84,2012-05-08,218036,2.0000,15,15,50.00000000
84,2012-05-09,41234,2.5556,9,9,42.59258889
84,2012-05-10,376521,2.0833,12,12,48.61110833
84,2012-05-11,33,2.0000,4,4,50.00000000
84,2012-05-13,41319,2.4444,18,18,43.51851111
84,2012-05-14,178,3.3016,131,126,37.88832063
84,2012-05-15,41070,5.4750,44,40,24.85119250
84,2012-05-16,42293,2.6000,5,5,41.66666000
84,2012-05-17,41886,3.0702,62,57,38.65496316
84,2012-05-18,324843,2.4545,11,11,42.42422727
84,2012-05-21,41847,4.5154,130,130,30.80497846
84,2012-05-22,42979,2.2500,64,64,46.48437188
84,2012-05-23,43279,2.1111,9,9,48.14814444
84,2012-05-29,43381,2.1176,51,51,48.03921176
84,2012-05-30,142011,2.0192,52,52,49.67948654
84,2012-09-27,206671,6.9000,12,10,18.52778000
84,2012-09-28,206671,7.7500,16,16,28.95710000
84,2012-10-01,207372,2.0000,1,1,50.00000000
84,2012-10-02,206671,9.5000,4,4,20.25520000
84,2012-10-04,78537,2.0000,2,2,50.00000000
84,2012-10-05,132522,2.1111,9,9,48.14814444
84,2012-10-06,132758,2.0000,10,10,50.00000000
84,2012-10-08,46904,5.5000,2,2,30.55555000
84,2012-10-09,46931,2.6087,23,23,44.64285217
84,2012-10-10,133083,2.6190,21,21,40.07934762
84,2012-10-14,46918,4.2778,18,18,25.00000000
84,2012-10-15,47316,2.4737,38,38,44.60526053
84,2012-10-16,2586,2.9231,13,13,35.25638462
84,2012-10-17,207290,3.0000,2,2,33.33330000
84,2012-10-21,133791,3.1765,17,17,34.70587059
84,2012-10-22,46970,2.9231,13,13,41.94138462
84,2012-10-24,305194,2.0000,2,2,50.00000000
84,2012-10-26,161768,5.1250,8,8,22.84225000
84,2012-10-29,162275,6.6667,9,9,15.14551111
84,2012-10-30,207452,3.0000,1,1,33.33330000
84,2012-11-03,48964,3.5000,10,10,30.83333000
84,2012-11-04,385612,2.3750,8,8,43.74998750
84,2012-11-06,66135,2.0000,1,1,50.00000000
84,2012-11-10,385775,2.7500,8,8,38.54165000
84,2012-11-11,66151,2.0000,7,7,50.00000000
84,2012-11-12,385715,3.6667,3,3,27.77776667
84,2012-11-13,66135,3.8462,15,13,31.79486923
84,2012-11-14,66288,3.0833,12,12,35.41665833
84,2012-11-15,243910,2.3333,3,3,44.44443333
84,2012-11-16,66164,2.7778,36,36,40.13888611
84,2012-11-17,386754,2.6316,19,19,39.91226316
84,2012-11-20,236505,3.1429,49,49,32.14282857
84,2012-11-26,255471,4.0000,3,3,25.00000000
84,2012-11-27,6315,2.0000,11,11,50.00000000
84,2012-11-30,66240,4.0500,20,20,25.58333500
84,2012-12-02,67050,4.2000,5,5,24.00000000
84,2012-12-04,333052,3.3548,31,31,30.48384839
84,2013-01-03,125960,2.7857,14,14,38.33331429
84,2013-01-07,126096,2.2500,4,4,45.83332500
84,2013-01-11,3559,2.1429,28,28,47.61904286
84,2013-01-14,3601,2.9444,18,18,36.75924444
84,2013-01-15,3828,2.1304,23,23,48.18840435
84,2013-01-17,57695,2.4167,12,12,43.05554167
84,2013-01-19,57918,2.2000,5,5,46.66666000
84,2013-01-21,58001,2.5000,6,6,41.66665000
84,2013-01-22,58060,2.4821,56,56,42.85713393
84,2013-01-23,14044,2.5294,17,17,41.66665294
84,2013-01-24,125743,2.6429,14,14,41.07142143
84,2013-01-25,59023,2.5769,26,26,41.47434615
84,2013-01-28,59244,2.5930,86,86,41.18215930
84,2013-02-04,123648,2.3056,36,36,45.13888056
84,2013-02-05,255571,4.5000,2,2,25.00000000
84,2013-02-10,255923,2.0000,3,3,50.00000000
84,2013-02-11,333643,3.5000,6,6,29.16665000
84,2013-02-12,123997,2.5217,23,23,42.53622174
80,2012-03-28,162028,2.0000,1,1,50.00000000
80,2012-03-29,162022,4.7059,117,34,77.33893529
80,2012-04-02,33800,3.0909,114,66,56.61615455
80,2012-04-03,34096,3.1842,77,38,65.78947632
80,2012-04-05,19323,2.6762,185,105,70.07936286
80,2012-04-09,19622,2.0930,130,86,72.94573837
80,2012-04-10,18499,2.0986,82,71,55.98591408
80,2012-04-12,118012,3.7143,42,42,28.17459048
80,2012-04-16,118195,3.9623,53,53,27.90055472
80,2012-04-17,118450,3.8400,25,25,29.14284000
80,2012-04-19,85677,2.5556,57,54,44.98677037
80,2012-04-20,85881,2.1538,13,13,48.07692308
80,2012-04-21,86114,2.0714,28,28,49.10714286
80,2012-04-23,86577,2.6214,103,103,43.90892427
80,2012-04-24,87284,2.5185,81,81,44.20928519
80,2012-04-25,177393,2.0000,24,24,50.00000000
80,2012-04-26,119183,3.5000,10,10,35.33334000
80,2012-04-30,108711,3.4138,29,29,34.10918966
80,2012-05-01,70475,3.1053,19,19,37.76941579
80,2012-05-06,119670,4.7692,13,13,22.58241538
80,2012-05-07,41118,2.8400,25,25,39.73332800
80,2012-05-08,376179,2.0000,3,3,50.00000000
80,2012-05-09,41250,2.2500,4,4,45.83332500
80,2012-05-10,376614,2.0000,5,5,50.00000000
80,2012-05-13,41324,2.3333,18,18,44.90740000
80,2012-05-14,399,3.0000,39,39,39.61538205
80,2012-05-15,41051,4.8462,41,39,27.14184103
80,2012-05-16,42133,2.0000,7,7,50.00000000
80,2012-05-17,41950,3.1500,40,40,34.91665500
80,2012-05-18,324851,2.2857,7,7,45.23808571
80,2012-05-21,42062,3.4643,28,28,36.01190000
80,2012-05-22,43042,2.1667,30,30,47.49999667
80,2012-05-23,43291,2.0000,2,2,50.00000000
80,2012-05-29,43391,2.2632,19,19,45.61402632
80,2012-05-30,141986,2.3333,12,12,44.44443333
80,2012-09-27,206755,3.0000,1,1,33.33330000
80,2012-09-28,206728,8.2727,11,11,20.79544545
80,2012-10-01,207388,2.0000,2,2,50.00000000
80,2012-10-02,46872,5.5000,8,8,22.59468750
80,2012-10-05,132528,2.0000,1,1,50.00000000
80,2012-10-08,206923,7.0000,2,2,14.28570000
80,2012-10-09,47118,3.1667,6,6,38.49205000
80,2012-10-10,78506,3.0000,37,37,37.68338649
80,2012-10-13,133627,2.0000,1,1,50.00000000
80,2012-10-14,46881,4.0000,7,7,27.61904286
80,2012-10-15,47304,2.3529,34,34,45.78431176
80,2012-10-16,2524,2.5600,25,25,41.33332000
80,2012-10-17,207245,3.2000,5,5,31.66664000
80,2012-10-21,133796,2.4286,14,14,44.28570714
80,2012-10-22,46986,3.0000,8,8,35.41665000
80,2012-10-24,305154,2.0000,24,24,50.00000000
80,2012-10-26,161752,3.0833,12,12,39.93055000
80,2012-10-27,162197,6.0000,1,1,16.66670000
80,2012-10-29,162276,6.0000,7,7,16.66670000
80,2012-10-30,207454,4.0000,2,2,26.66665000
80,2012-11-03,49029,3.0000,7,7,36.90475714
80,2012-11-04,385568,2.8889,9,9,38.88888889
80,2012-11-06,66138,2.0000,1,1,50.00000000
80,2012-11-10,385776,2.6000,5,5,41.66666000
80,2012-11-11,66150,2.0000,10,10,50.00000000
80,2012-11-12,385681,2.5000,2,2,41.66665000
80,2012-11-13,243737,3.8750,10,8,32.70831250
80,2012-11-14,66306,2.0952,21,21,48.41269524
80,2012-11-16,66168,2.2308,26,26,46.79486923
80,2012-11-17,386769,2.6818,22,22,39.39392273
80,2012-11-18,243961,3.0000,3,3,36.11110000
80,2012-11-20,236496,3.0769,26,26,32.69227692
80,2012-11-26,255417,3.4286,7,7,29.76188571
80,2012-11-27,6305,2.0909,11,11,48.48484545
80,2012-11-30,66451,4.2000,5,5,30.66668000
80,2012-12-04,333055,3.0345,29,29,33.33330345
80,2013-01-03,125793,2.6111,18,18,40.74072778
80,2013-01-07,126048,2.0625,16,16,48.95833125
80,2013-01-10,126281,2.0000,4,4,50.00000000
80,2013-01-11,126351,2.0526,19,19,49.12280526
80,2013-01-14,3610,2.3077,13,13,44.87178462
80,2013-01-15,3869,2.0000,20,20,50.00000000
80,2013-01-17,57727,2.2000,15,15,46.66666000
80,2013-01-19,57915,2.5833,12,12,41.94443333
80,2013-01-21,57986,2.1250,8,8,47.91666250
80,2013-01-22,58085,2.2105,38,38,46.49122105
80,2013-01-23,14001,2.2222,27,27,46.29628889
80,2013-01-24,125787,2.5455,22,22,41.28786364
80,2013-01-25,58979,3.0000,11,11,37.42423636
80,2013-01-26,59221,2.0000,1,1,50.00000000
80,2013-01-28,59243,2.4865,74,74,42.45494324
80,2013-01-29,255489,3.0000,1,1,33.33330000
80,2013-02-04,123649,2.1000,10,10,48.33333000
80,2013-02-05,255498,4.0769,13,13,24.61538462
80,2013-02-11,333604,3.0000,24,24,33.33330000
80,2013-02-12,123998,2.8000,10,10,37.49998000
83,2012-03-29,162026,4.3750,104,32,75.24553438
83,2012-04-02,33738,3.4000,54,40,41.04165750
83,2012-04-03,34070,3.8621,49,29,45.77996207
83,2012-04-05,19311,2.6716,97,67,58.13432388
83,2012-04-09,19602,2.1522,58,46,60.21739130
83,2012-04-10,18421,2.5510,62,49,52.68706531
83,2012-04-11,123163,2.0000,5,5,50.00000000
83,2012-04-12,118013,4.2162,37,37,24.84555676
83,2012-04-16,118194,4.6944,36,36,23.37301111
83,2012-04-17,118481,4.0909,11,11,27.35929091
83,2012-04-19,85707,3.1515,34,33,37.25827879
83,2012-04-20,85876,2.2500,8,8,45.83332500
83,2012-04-21,86142,2.5000,8,8,42.70832500
83,2012-04-23,86795,3.9259,27,27,29.19752963
83,2012-04-24,87274,3.5263,19,19,36.10901579
83,2012-04-25,177416,2.1429,7,7,47.61904286
83,2012-04-26,119202,2.8000,10,10,40.83333000
83,2012-04-30,100376,3.7955,44,44,34.12698182
83,2012-05-01,70326,3.8800,25,25,33.95237200
83,2012-05-07,41211,2.7561,41,41,42.31997317
83,2012-05-08,217397,2.0000,11,11,50.00000000
83,2012-05-09,41237,3.6667,3,3,27.77776667
83,2012-05-10,376491,2.2500,20,20,46.66666500
83,2012-05-13,41334,3.5000,2,2,29.16665000
83,2012-05-14,124,3.0500,63,60,40.83200333
83,2012-05-15,41074,5.8261,25,23,24.97557826
83,2012-05-16,42160,2.8571,7,7,36.90474286
83,2012-05-17,41869,4.0222,47,45,29.70899111
83,2012-05-18,324885,3.4706,17,17,31.27450000
83,2012-05-19,405216,3.0000,1,1,33.33330000
83,2012-05-21,41867,5.2368,38,38,27.74122632
83,2012-05-22,42971,2.5366,41,41,42.64226829
83,2012-05-23,43263,2.2000,5,5,46.66666000
83,2012-05-29,43398,2.6000,5,5,41.66666000
83,2012-05-30,142105,2.6875,32,32,40.10415625
83,2012-09-27,206670,7.5000,15,10,23.13996000
83,2012-09-28,206679,9.9600,32,25,19.81345200
83,2012-10-01,206671,4.4286,14,14,28.84918571
83,2012-10-02,206730,6.0870,48,46,21.38893478
83,2012-10-04,78532,3.1667,12,12,34.30554167
83,2012-10-05,78765,2.2500,8,8,45.83332500
83,2012-10-06,132731,2.2500,4,4,45.83332500
83,2012-10-08,206921,8.5000,4,4,11.80555000
83,2012-10-09,46918,2.8261,23,23,40.28983913
